assisted_living_facility,assisted_living_facility_label,city,County,latitude,longitude,beds,no_substantiated_complaints,sanctions_final_orders,fines,total_deficiencies,class_1,class_2,class_3,class_4,unclassified
Brookdale Tequesta,Brookdale Tequesta,Tequesta,Palm Beach,26.9665,-80.0897,50,3,1,10000,8,0,2,5,1,0
Oakbridge Terrace Assisted Liv Res - Edgewater At Boca Pointe,Oakbridge Terrace Assisted Liv Res - Edgewater At Boca Pointe,Boca Raton,Palm Beach,26.3298,-80.1518,51,1,2,10000,13,0,0,5,8,0
Wellsprings Residence Llc,Wellsprings Residence,Apopka,Orange,28.7033,-81.4985,15,7,7,10000,36,0,4,24,7,1
Solaris Senior Living North Naples,Solaris Senior Living North Naples,Naples,Collier,26.2717,-81.7805,36,2,2,10000,9,0,2,6,1,0
Best Care Senior Living At Saint Joseph,Best Care Senior Living At Saint Joseph,Tampa,Hillsborough,27.9817,-82.4858,84,6,2,10000,24,0,2,22,0,0
Arden Courts Of Sarasota,Arden Courts Of Sarasota,Sarasota,Sarasota,27.275,-82.5132,56,6,3,10000,12,0,2,8,2,0
The Camellia At Gulf Breeze,The Camellia At Gulf Breeze,Gulf Breeze,Santa Rosa,30.3561,-87.1644,110,5,2,10000,6,0,2,4,0,0
Isa'S Loving Alf Corp,Isa'S Loving ALF Corp,Miami,Miami-Dade,25.7664,-80.1899,6,0,8,9850,21,0,1,19,0,1
Brookdale New Port Richey,Brookdale New Port Richey,New Port Richey,Pasco,28.2233,-82.7088,242,10,9,9850,34,0,1,31,1,1
Seaside Manor Of Ormond Beach,Seaside Manor Of Ormond Beach,Ormond Beach,Volusia,29.3177,-81.0529,68,15,8,9800,40,0,3,36,0,1
Savannah Court Of Brandon,Savannah Court Of Brandon,Brandon,Hillsborough,27.9518,-82.2865,46,3,3,9800,27,0,1,22,0,4
Magnolia Acres,Magnolia Acres,Englewood,Sarasota,26.958,-82.3314,24,3,3,9800,13,0,2,9,1,1
Serenity Lifestyle Plus Ii Llc,Serenity Lifestyle Plus Ii,Palm Bay,Brevard,28.009,-80.6615,6,1,2,9600,21,0,2,14,5,0
Las Palmas Alf Corp,Las Palmas ALF Corp,Miami,Miami-Dade,25.9427,-80.2751,8,3,2,9500,20,0,3,16,1,0
Brookdale Melbourne,Brookdale Melbourne,Melbourne,Brevard,28.0847,-80.6477,102,2,7,9500,33,0,2,23,5,3
Golden Years For The Elderly Corp,Golden Years For The Elderly Corp,Miami,Miami-Dade,25.7938,-80.3396,6,2,3,9450,14,0,1,10,2,1
Salmos 23 #4 Llc,Salmos 23 #4,Hialeah,Miami-Dade,25.8407,-80.2806,76,3,4,9400,26,0,1,25,0,0
M & J Quality Care Llc,M & J Quality Care,Homestead,Miami-Dade,25.5012,-80.4234,6,0,4,9000,7,0,0,7,0,0
Monte Olivo Adult Care,Monte Olivo Adult Care,Miami,Miami-Dade,25.7394,-80.2544,6,0,8,8900,36,0,2,32,1,1
Prestige Place Alf,Prestige Place ALF,Palm Bay,Brevard,28.0116,-80.677,6,2,6,8900,49,0,1,32,12,4
Our Home At Riverwood,Our Home At Riverwood,Fort White,Columbia,29.9154,-82.7053,36,2,4,8800,14,0,0,14,0,0
"Guardian Elder Care Services, Inc. (The)",Guardian Elder Care Services. (The),Miami,Miami-Dade,25.6884,-80.4555,6,0,7,8750,10,0,1,8,1,0
Savannah Court Of Maitland,Savannah Court Of Maitland,Maitland,Orange,28.6315,-81.3785,112,2,6,8725,18,0,1,17,0,0
Daniella'S Home Care Inc,Daniella'S Home Care,Miami,Miami-Dade,25.7799,-80.2196,6,1,5,8500,9,0,2,6,1,0
J R Family Care Inc,J R Family Care,Miami,Miami-Dade,25.7012,-80.3459,6,2,10,8500,35,0,0,32,2,1
Wayman Place,Wayman Place,Longwood,Seminole,28.6988,-81.3346,70,4,1,8500,37,0,2,26,3,6
Brookdale Lake Mary,Brookdale Lake Mary,Lake Mary,Seminole,28.7537,-81.3379,92,4,7,8500,33,0,3,25,5,0
Silver Crest Home,Silver Crest Home,Kissimmee,Osceola,28.2271,-81.4255,9,0,2,8500,14,0,0,11,3,0
Harbor Point Alf Inc,Harbor Point ALF,Safety Harbor,Pinellas,27.9994,-82.7024,14,1,3,8500,18,0,1,15,2,0
Best Care Senior Living At Port Richey Llc,Best Care Senior Living At Port Richey,Port Richey,Pasco,28.2743,-82.717,100,12,5,8500,39,0,2,34,2,1
Brookdale Dr Phillips Al,Brookdale Dr Phillips Al,Orlando,Orange,28.4856,-81.4925,80,2,6,8400,26,0,1,19,5,1
Arbor Village Inc,Arbor Village,Tampa,Hillsborough,28.0661,-82.4343,26,1,1,8322.22,8,0,0,8,0,0
Joy Of Living Assisted Care Llc,Joy Of Living Assisted Care,West Palm Beach,Palm Beach,26.6842,-80.1207,6,2,5,8300,30,0,2,16,9,3
Amber Lake Assisted Living Facility,Amber Lake Assisted Living Facility,Kissimmee,Osceola,28.305,-81.3463,55,6,5,8250,32,0,2,28,1,1
Tikas Alf Inc,Tikas ALF,Miami,Miami-Dade,25.7686,-80.2641,6,2,4,8200,29,0,1,27,0,1
Crestview Manor,Crestview Manor,Crestview,Okaloosa,30.7622,-86.5708,65,7,5,8200,20,0,4,16,0,0
Family Extended Care Of Sarasota (Dba) Cabot Reserve On The Gree,Family Extended Care Of Sarasota (Dba) Cabot Reserve On The Gree,Sarasota,Sarasota,27.3423,-82.4787,65,4,5,8100,24,0,0,18,6,0
Rose'S Retirement Home,Rose'S Retirement Home,Miami,Miami-Dade,25.7765,-80.1897,10,0,5,8000,7,0,0,7,0,0
"Jc & C Alf, Llc",Jc & C ALF,Hialeah,Miami-Dade,25.8306,-80.2849,14,1,1,8000,8,0,2,6,0,0
Santa Teresita Home Care,Santa Teresita Home Care,Hialeah,Miami-Dade,25.6481,-80.4075,6,0,5,8000,22,0,1,18,3,0
Tropical Living Club 2,Tropical Living Club 2,Merritt Island,Brevard,28.3542,-80.6935,11,2,2,8000,3,0,2,1,0,0
Market Street Viera,Market Street Viera,Melbourne,Brevard,28.244,-80.714,64,5,3,8000,32,0,2,28,0,2
Elite Manor - Kissimmee,Elite Manor - Kissimmee,Kissimmee,Osceola,28.3389,-81.2813,6,1,5,8000,12,0,1,10,0,1
Wyndham Lakes Jacksonville,Wyndham Lakes Jacksonville,Jacksonville,Duval,30.182,-81.6111,288,7,3,8000,15,0,1,12,0,2
The Pavilion Of East Tampa,The Pavilion Of East Tampa,Tampa,Hillsborough,27.9772,-82.4273,135,13,8,8000,33,0,1,29,0,3
Allegro,Allegro,Boynton Beach,Palm Beach,27.9403,-82.468,85,0,1,8000,7,0,0,4,1,2
Whispering Pines Assisted Living Facility Llc,Whispering Pines Assisted Living Facility,Pensacola,Escambia,30.5259,-87.2433,15,0,5,8000,14,0,1,10,0,3
A Comfort Living Inc,A Comfort Living,North Miami,Miami-Dade,25.8974,-80.2267,14,1,6,7500,27,0,1,24,2,0
Lizi Home Care Iii Inc,Lizi Home Care Iii,Miami,Miami-Dade,25.6452,-80.3819,6,0,2,7500,14,0,1,10,0,3
Brookdale Conway,Brookdale Conway,Orlando,Orange,28.5153,-81.3141,103,2,3,7500,37,0,1,29,7,0
Memorial Alf Llc,Memorial ALF,Clearwater,Pinellas,27.9066,-82.7079,5,1,4,7300,7,0,1,6,0,0
"Grace Care Family Home, Corp",Grace Care Family Home Corp,Hialeah,Miami-Dade,25.8715,-80.326,6,2,4,7250,14,0,1,11,2,0
Azalea Manor,Azalea Manor,Saint Petersburg,Pinellas,28.5428,-81.307,20,1,8,7250,18,0,1,14,3,0
Sanctuary Of Peace Alf Llc,Sanctuary Of Peace ALF,Tampa,Hillsborough,27.9911,-82.4418,6,3,7,7100,9,0,1,7,1,0
"Sheridan Manor, Inc.",Sheridan Manor.,Hollywood,Broward,26.0328,-80.1473,40,5,1,7000,5,0,1,3,0,1
"Royal Living Rest Home,Inc.",Royal Living Rest HomeInc.,Miami,Miami-Dade,25.815,-80.208,14,4,4,7000,35,0,2,31,2,0
"A-1 Assisted Living Facility, Llc",A-1 Assisted Living Facility,Miami,Miami-Dade,25.7772,-80.2499,6,0,7,7000,8,0,0,7,0,1
"Villa Rosa I, Inc.",Villa Rosa I.,Hialeah,Miami-Dade,25.8295,-80.2852,40,4,4,7000,27,0,1,26,0,0
Sun Village Homes Inc,Sun Village Homes,Hialeah,Miami-Dade,25.8495,-80.3095,29,2,5,7000,19,0,1,16,2,0
"Marilin Adult Living Facility, Inc",Marilin Adult Living Facility,Miami,Miami-Dade,25.7013,-80.3808,6,1,2,7000,14,0,1,10,2,1
The House Of Cares Inc,The House Of Cares,Port Saint Lucie,St. Lucie,27.2155,-80.3808,6,2,4,7000,27,0,0,15,10,2
Gardens Of Time Iii Corp,Gardens Of Time Iii Corp,Tampa,Hillsborough,27.9873,-82.4958,5,0,3,7000,8,0,1,6,0,1
Greenbriar Retirement Home,Greenbriar Retirement Home,Apopka,Orange,28.6572,-81.4426,25,1,4,6875,10,0,1,6,0,3
White Flowers Alf Corp,White Flowers ALF Corp,Orlando,Orange,28.5323,-81.203,6,2,5,6800,20,0,1,15,3,1
Living Southern Style Of Brevard Llc,Living Southern Style Of Brevard,Rockledge,Brevard,28.311,-80.7056,6,0,3,6700,19,0,0,15,1,3
Golden Pond Communities,Golden Pond Communities,Winter Garden,Orange,28.5612,-81.6044,108,4,6,6700,42,0,1,33,7,1
Barnett Lakeview Alf Inc,Barnett Lakeview ALF,Hollywood,Broward,25.9798,-80.1805,6,0,6,6650,22,0,0,12,7,3
Savannah Court Of Lakeland,Savannah Court Of Lakeland,Lakeland,Polk,28.126,-81.9483,36,3,5,6625,26,0,2,23,1,0
Lifetime Alf Co,Lifetime ALF Co,Miami,Miami-Dade,25.7686,-80.2641,6,0,2,6500,15,0,3,9,0,3
Palm Cottages Of Rockledge,Palm Cottages Of Rockledge,Rockledge,Brevard,28.2941,-80.7347,112,2,3,6500,14,0,0,10,3,1
Lakewood Retirement Center,Lakewood Retirement Center,Daytona Beach,Volusia,29.2258,-81.0712,32,2,4,6500,27,0,1,23,2,1
"Summit Of Winter Garden, The",Summit Of Winter Garden The,Winter Garden,Orange,28.5354,-81.5858,55,4,5,6500,27,0,0,22,4,1
Brookdale Punta Gorda Isles,Brookdale Punta Gorda Isles,Punta Gorda,Charlotte,26.9232,-82.0703,60,1,3,6500,23,0,0,20,3,0
Brookdale Port Charlotte,Brookdale Port Charlotte,Port Charlotte,Charlotte,27.0042,-82.1426,60,3,2,6500,21,0,1,18,2,0
Best Care Senior Living At St Pete,Best Care Senior Living At St Pete,Saint Petersburg,Pinellas,27.7823,-82.6459,120,11,4,6500,15,0,0,12,2,1
Cedar Creek,Cedar Creek,,Brevard,28.4335,-80.6984,78,3,4,6450,43,0,1,38,3,1
An Excellent Care Alf Llc,An Excellent Care ALF,Homestead,Miami-Dade,25.5365,-80.4546,6,1,6,6431.13,24,0,0,21,0,3
"Bosch Alf, Inc",Bosch ALF,Miami,Miami-Dade,25.7686,-80.2641,6,1,2,6400,8,0,2,6,0,0
Ideal Care Alf,Ideal Care ALF,Orlando,Orange,28.5359,-81.1472,6,0,4,6375,24,0,1,19,3,1
Machin Moya Alf Corp,Machin Moya ALF Corp,Miami,Miami-Dade,25.6217,-80.4189,6,2,4,6350,15,0,3,8,4,0
"Blake At Hamlin, The",Blake At Hamlin The,Winter Garden,Orange,28.481,-81.6279,114,3,2,6300,9,0,2,5,0,2
"Canterfield Of Tallahassee, Llc",Canterfield Of Tallahassee,,Leon,30.4643,-84.2808,100,4,3,6300,14,0,2,10,2,0
Haines Manor Alf,Haines Manor ALF,Haines City,Polk,28.1025,-81.623,109,11,3,6200,32,0,1,30,1,0
The Sheridan At Lakewood Ranch,The Sheridan At Lakewood Ranch,Bradenton,Manatee,27.4389,-82.426,142,3,4,6150,9,0,0,8,0,1
Wentworth Central Avenue,Wentworth Central Avenue,Saint Petersburg,Pinellas,27.7704,-82.7215,240,13,4,6150,15,0,1,13,0,1
"Veranda Club Assisted Living, The",Veranda Club Assisted Living The,Boca Raton,Palm Beach,26.3546,-80.1383,105,2,4,6000,17,0,0,12,5,0
Oasis Living Quarters Llc,Oasis Living Quarters,Fort Lauderdale,Broward,26.1885,-80.1822,180,6,9,6000,17,0,0,17,0,0
Emerald Park Of Hollywood,Emerald Park Of Hollywood,Hollywood,Broward,26.0465,-80.2034,100,13,5,6000,23,0,2,21,0,0
"Valdes Retirement Home, Inc.",Valdes Retirement Home.,Miami,Miami-Dade,25.74,-80.2158,6,0,2,6000,4,0,0,3,0,1
Anjole Alf Llc,Anjole ALF,Miami,Miami-Dade,25.7686,-80.2641,6,2,4,6000,13,0,3,7,3,0
Blue Sky Group Home Inc,Blue Sky Group Home,Miami,Miami-Dade,25.7472,-80.3389,6,0,1,6000,7,0,1,4,2,0
Woodmark At Daytona Beach,Woodmark At Daytona Beach,Holly Hill,Volusia,29.2419,-81.0572,120,4,1,6000,7,0,0,7,0,0
Westminster Winter Park,Westminster Winter Park,Winter Park,Orange,28.5832,-81.3293,73,1,6,6000,32,0,0,26,5,1
Watercrest Winter Park Assisted Living And Memory Care,Watercrest Winter Park Assisted Living And Memory Care,Winter Park,Orange,28.6095,-81.3684,118,2,2,6000,8,0,1,7,0,0
Gentle Shepherd Assisted Living Facility (The),Gentle Shepherd Assisted Living Facility (The),Kissimmee,Osceola,28.301,-81.4215,6,0,3,6000,28,0,0,22,6,0
The Rose Garden Of Ft Myers,The Rose Garden Of Ft Myers,Fort Myers,Lee,26.6132,-81.8697,120,5,2,6000,10,0,2,7,1,0
Windsor Of Venice,Windsor Of Venice,Venice,Sarasota,27.0781,-82.3649,94,3,2,6000,6,0,1,5,0,0
Charter Senior Living Of Gainesville,Charter Senior Living Of Gainesville,,Alachua,29.6422,-82.3976,110,2,11,6000,8,0,0,8,0,0
A Banyan Residence,A Banyan Residence,Venice,Sarasota,27.0792,-82.4439,71,5,2,6000,4,0,1,2,1,0
Westminster Suncoast,Westminster Suncoast,Saint Petersburg,Pinellas,27.7069,-82.6481,60,4,2,6000,12,0,1,11,0,0
Arbor Oaks At Tyrone,Arbor Oaks At Tyrone,Saint Petersburg,Pinellas,27.7888,-82.733,100,3,2,6000,15,0,1,13,0,1
Lincolnshire Assisted Living,Lincolnshire Assisted Living,Clearwater,Pinellas,27.9389,-82.7426,20,0,7,6000,14,0,0,13,1,0
Sweet Water At Largo,Sweet Water At Largo,Largo,Pinellas,27.8797,-82.7943,80,4,3,6000,19,0,0,16,3,0
Liana Of Venice,Liana Of Venice,Venice,Sarasota,27.0987,-82.3874,54,4,3,5875,6,0,1,5,0,0
The Eden Inn Alf,The Eden Inn ALF,Fort Lauderdale,Broward,26.0964,-80.1365,8,0,9,5750,8,0,0,5,1,2
Better Life Corp,Better Life Corp,Miami,Miami-Dade,25.7488,-80.3049,6,0,3,5750,4,0,1,3,0,0
Citrus Garden Alf,Citrus Garden ALF,,Seminole,28.6617,-81.2814,16,0,3,5750,7,0,1,6,0,0
"Sweet Retirement Alf, Inc",Sweet Retirement ALF,Miami Gardens,Miami-Dade,25.9399,-80.2829,6,0,2,5625,9,0,1,7,1,0
Roberts Adult Care Home,Roberts Adult Care Home,Orlando,Orange,28.5631,-81.4565,5,1,4,5550,23,0,0,18,4,1
Cleon Corp Family Care Inc,Cleon Corp Family Care,,Miami-Dade,25.8899,-80.3636,6,1,2,5500,8,0,1,6,1,0
Greenwood Place,Greenwood Place,Melbourne,Brevard,28.1495,-80.6559,80,8,4,5500,21,0,1,18,1,1
Lovey'S Alf Llc,Lovey'S ALF,Holly Hill,Volusia,29.236,-81.0318,6,1,2,5500,18,0,1,16,0,1
Serenades By Sonata,Serenades By Sonata,Longwood,Seminole,28.6936,-81.3452,57,1,2,5500,10,0,2,5,2,1
Sweet Water Of Orlando,Sweet Water Of Orlando,Orlando,Orange,28.6312,-81.4142,92,1,3,5500,19,0,0,11,8,0
Merrill Gardens At Solivita Marketplace,Merrill Gardens At Solivita Marketplace,Kissimmee,Osceola,28.1501,-81.4724,200,3,4,5500,43,0,2,34,7,0
The Inn At Aging Grace,The Inn At Aging Grace,Jacksonville,Duval,30.4068,-81.6941,24,0,2,5500,13,0,1,11,1,0
Palmview At Gulf Coast Village,Palmview At Gulf Coast Village,Cape Coral,Lee,26.6283,-81.9723,151,3,2,5500,9,0,1,5,3,0
Pacifica Senior Living Ocala,Pacifica Senior Living Ocala,Ocala,Marion,29.0596,-82.2736,70,4,2,5500,5,0,1,4,0,0
Legacy At Highwoods Preserve,Legacy At Highwoods Preserve,Tampa,Hillsborough,28.1426,-82.3759,88,5,3,5500,10,0,0,9,1,0
American House Lutz,American House Lutz,Lutz,Hillsborough,28.1919,-82.394,104,1,3,5500,14,0,1,11,0,2
Keystone Place At Terra Bella,Keystone Place At Terra Bella,Land O Lakes,Pasco,28.1896,-82.4271,88,6,3,5500,23,0,0,20,0,3
Angels Senior Living At The Lodges At Idlewild,Angels Senior Living At The Lodges At Idlewild,Lutz,Hillsborough,28.1375,-82.4949,101,3,2,5500,8,0,1,7,0,0
Weinberg Village,Weinberg Village,Tampa,Hillsborough,28.0682,-82.5631,90,4,4,5500,23,0,0,22,1,0
Brookdale Bradenton Gardens,Brookdale Bradenton Gardens,Bradenton,Manatee,27.4419,-82.5885,120,3,2,5500,14,0,1,12,0,1
Inspired Living At Ivy Ridge,Inspired Living At Ivy Ridge,Saint Petersburg,Pinellas,27.8085,-82.738,68,9,2,5500,16,0,1,14,1,0
Summer'S Landing Llc,Summer'S Landing,Lynn Haven,Bay,30.2488,-85.6493,47,2,2,5500,7,0,1,6,0,0
The Pavilion Of New Port Richey,The Pavilion Of New Port Richey,New Port Richey,Pasco,28.2397,-82.7254,100,9,1,5450,4,0,0,3,0,1
Coral Park Senior Care Of Miami,Coral Park Senior Care Of Miami,,Miami-Dade,25.7553,-80.3389,6,0,3,5400,6,0,0,5,0,1
Plantation Oaks Assisted Living And Memory Care,Plantation Oaks Assisted Living And Memory Care,High Springs,Alachua,29.8251,-82.594,72,1,2,5375,3,0,0,3,0,0
"Oaks Of Clearwater, The",Oaks Of Clearwater The,Clearwater,Pinellas,27.9618,-82.803,175,13,5,5300,37,0,1,34,0,2
S & M Assisted Living Facility Llc,S & M Assisted Living Facility,Miami,Miami-Dade,25.8658,-80.2386,8,3,3,5250,27,0,5,21,0,1
Alice'S Home Corp,Alice'S Home Corp,Miami,Miami-Dade,25.7022,-80.3347,6,0,2,5250,5,0,1,4,0,0
Barrington Terrace - Ft Myers,Barrington Terrace - Ft Myers,Fort Myers,Lee,26.4994,-81.9114,135,3,2,5250,16,0,0,12,4,0
American House Coconut Point,American House Coconut Point,Bonita Springs,Lee,26.3925,-81.8062,164,9,3,5200,31,0,0,25,3,3
Garden View Alf,Garden View ALF,Panama City,Bay,30.1577,-85.5715,40,2,2,5050,9,0,1,8,0,0
The Madyson At Palm Beach Gardens,The Madyson At Palm Beach Gardens,Palm Beach Gardens,Palm Beach,26.8747,-80.1193,256,3,1,5000,12,0,1,8,2,1
North Lake Retirement Home Inc,North Lake Retirement Home,Hollywood,Broward,26.0223,-80.1395,114,2,10,5000,14,0,0,14,0,0
Home Sweet Home Assisted Living Facility Corp,Home Sweet Home Assisted Living Facility Corp,Miami,Miami-Dade,25.7772,-80.2499,6,2,3,5000,40,0,0,37,3,0
"Dejay'S Adult Care, Llc",Dejay'S Adult Care,Plantation,Broward,26.1035,-80.2616,6,0,5,5000,8,0,0,5,3,0
L&T Alf Llc,L&T ALF,Miami,Miami-Dade,25.7686,-80.2641,6,1,2,5000,14,0,1,13,0,0
"Sunny Hills Alf Of Homestead, Inc",Sunny Hills ALF Of Homestead,Princeton,Miami-Dade,25.5313,-80.409,120,1,1,5000,5,0,1,4,0,0
Hibiscus Court,Hibiscus Court,Melbourne,Brevard,28.0857,-80.6126,78,9,2,5000,24,0,2,20,1,1
Sonata Viera,Sonata Viera,Melbourne,Brevard,28.2579,-80.7451,100,3,1,5000,9,0,1,7,1,0
Benton House Of Oviedo,Benton House Of Oviedo,Chuluota,Seminole,28.6539,-81.1651,93,3,1,5000,7,0,1,6,0,0
"Grand Palms Alf Operator, Llc",Grand Palms ALF Operator,Orlando,Orange,28.5526,-81.2549,55,3,4,5000,23,0,3,18,1,1
Village On The Green,Village On The Green,Longwood,Seminole,28.6926,-81.4065,60,2,1,5000,2,0,1,1,0,0
Sonata Hunter'S Creek,Sonata Hunter'S Creek,Kissimmee,Osceola,28.3377,-81.4208,138,1,1,5000,14,0,1,11,1,1
All Seniors Assisted Living,All Seniors Assisted Living,Orlando,Orange,28.5795,-81.464,21,0,1,5000,0,0,0,0,0,0
Sodalis Jacksonville,Sodalis Jacksonville,Jacksonville,Duval,30.1973,-81.5498,62,1,1,5000,3,0,1,1,0,1
Seaside At Fort Myers,Seaside At Fort Myers,Fort Myers,Lee,26.513,-81.9421,135,2,1,5000,8,0,1,7,0,0
A Banyan Residence At Wildwood Llc,A Banyan Residence At Wildwood,Oxford,Sumter,28.9392,-82.0162,100,4,1,5000,2,0,1,1,0,0
The Harbor House Of Ocala,The Harbor House Of Ocala,Dunnellon,Marion,29.0528,-82.3201,60,3,2,5000,3,0,1,2,0,0
Concordia Village Of Tampa,Concordia Village Of Tampa,,Hillsborough,28.0701,-82.4164,175,3,1,5000,17,0,1,15,0,1
Liana Of Sarasota,Liana Of Sarasota,Sarasota,Sarasota,27.3882,-82.5168,54,2,1,5000,2,0,1,1,0,0
"Neurointernational Healthcare, Llc",Neurointernational Healthcare,Sarasota,Sarasota,27.3368,-82.5329,4,1,1,5000,2,0,1,1,0,0
Sunflower Springs At Trinity,Sunflower Springs At Trinity,Trinity,Pasco,28.1914,-82.68,128,3,2,5000,14,0,1,13,0,0
Azalea Gardens Alzheimer'S Special Care Center,Azalea Gardens Alzheimer'S Special Care Center,Tallahassee,Leon,30.538,-84.2335,66,9,2,5000,5,0,1,4,0,0
"Varnum'S Rest Home, Llc",Varnum'S Rest Home,Bristol,Liberty,30.4391,-84.969,45,0,1,5000,7,0,1,6,0,0
The Beacon At Gulf Breeze,The Beacon At Gulf Breeze,Gulf Breeze,Santa Rosa,30.3948,-87.039,120,2,1,5000,9,0,1,8,0,0
Hogar Dulce Hogar,Hogar Dulce Hogar,Naples,Collier,26.1237,-81.7312,6,0,2,4900,8,0,1,5,1,1
Gardens Of Venice Retirement Residence,Gardens Of Venice Retirement Residence,Venice,Sarasota,27.0437,-82.3986,50,2,2,4875,4,0,1,3,0,0
Tgl Residence Alf,Tgl Residence ALF,Miami,Miami-Dade,25.8354,-80.3244,9,0,5,4850,11,0,0,10,1,0
Fountains Of Melbourne,Fountains Of Melbourne,Melbourne,Brevard,28.0443,-80.628,120,1,4,4800,7,0,1,5,1,0
Dahlia'S House Of Love Llc,Dahlia'S House Of Love,Palm Bay,Brevard,27.9256,-80.6295,5,1,1,4800,21,0,1,16,1,3
Home Sweet Home Of Biscayne Llc,Home Sweet Home Of Biscayne,Miami,Miami-Dade,25.8506,-80.1775,6,0,2,4700,5,0,1,3,0,1
Westchester Of Winter Park,Westchester Of Winter Park,Winter Park,Orange,28.6086,-81.3103,121,11,11,4700,69,0,0,58,10,1
Senior Haven Assisted Living Inc,Senior Haven Assisted Living,Miami,Miami-Dade,25.7403,-80.3042,6,0,3,4650,16,0,1,14,0,1
Dornoch Place Del Prado,Dornoch Place Del Prado,Cape Coral,Lee,26.6008,-81.9401,26,0,2,4650,5,0,1,2,0,2
Coventry Assisted Living,Coventry Assisted Living,Plant City,Hillsborough,28.0269,-82.0962,15,0,2,4650,6,0,0,5,1,0
Grand Villa Of New Port Richey,Grand Villa Of New Port Richey,New Port Richey,Pasco,28.2481,-82.7056,150,4,6,4650,2,0,0,2,0,0
Senior Garden Assisted Living,Senior Garden Assisted Living,Orlando,Orange,28.5687,-81.4036,6,1,4,4575,15,0,0,10,5,0
Shalon Alf,Shalon ALF,Miami,Miami-Dade,25.7872,-80.2226,6,0,6,4500,14,0,0,12,1,1
Caring Village Of Davie Llc,Caring Village Of Davie,,Broward,26.0632,-80.2344,20,4,3,4500,11,0,1,10,0,0
Lady Elizabeth Alf Inc,Lady Elizabeth ALF,Miami,Miami-Dade,25.7686,-80.2641,6,0,3,4500,13,0,0,12,0,1
Gonzalez & Son'S Home Care Inc.,Gonzalez & Son'S Home Care.,Miami,Miami-Dade,25.8475,-80.2924,6,1,3,4500,27,0,2,25,0,0
"Miramar Senior Living Iv, Inc",Miramar Senior Living Iv,Miami,Miami-Dade,25.7002,-80.3657,6,0,4,4500,22,0,0,20,1,1
"Pineapple Garden, Inc",Pineapple Garden,Rockledge,Brevard,28.3384,-80.7422,14,1,2,4500,3,0,1,2,0,0
Stone Ledge Manor,Stone Ledge Manor,Thonotosassa,Hillsborough,28.0625,-82.2501,101,3,3,4500,9,0,0,9,0,0
Walton Place,Walton Place,Tarpon Springs,Pinellas,28.1421,-82.7458,98,6,2,4500,9,0,1,7,1,0
"Golden Age Seniors Of Sunrise, Inc.",Golden Age Seniors Of Sunrise.,Sunrise,Broward,26.1652,-80.2827,6,0,7,4400,18,0,0,12,3,3
"Angeles Residential, Inc",Angeles Residential,Hialeah,Miami-Dade,25.8799,-80.2832,6,0,3,4400,6,0,1,4,1,0
High Tower Alf Llc,High Tower ALF,Homestead,Miami-Dade,25.4842,-80.4843,6,2,1,4400,13,0,2,8,0,3
"Sun Coast Residential Care, Inc.",Sun Coast Residential Care.,Hallandale Beach,Broward,25.9757,-80.1588,6,3,4,4250,40,0,0,28,8,4
Seasons Largo,Seasons Largo,Clearwater,Pinellas,27.9159,-82.7443,92,7,5,4250,13,0,0,12,1,0
Elpa Home Care Center,Elpa Home Care Center,Miami,Miami-Dade,25.6914,-80.3555,6,0,1,4125,15,0,1,13,1,0
Monher Alf Corp,Monher ALF Corp,Homestead,Miami-Dade,25.5543,-80.3736,6,1,2,4100,14,0,3,11,0,0
Safe Harbor Assisted Living Resort,Safe Harbor Assisted Living Resort,Fort Lauderdale,Broward,26.0905,-80.1586,35,2,5,4000,18,0,1,15,1,1
"Evelyn'S Place, Inc.",Evelyn'S Place.,Hollywood,Broward,26.0048,-80.1924,6,1,1,4000,4,0,1,3,0,0
Victoria Nursing Love Alf Corp,Victoria Nursing Love ALF Corp,Miami,Miami-Dade,25.7766,-80.2106,6,0,6,4000,18,0,0,15,3,0
"Xiomara Home, Inc.",Xiomara Home.,Miami,Miami-Dade,25.7711,-80.2392,6,1,1,4000,8,0,1,7,0,0
A Home Away From Home Alf Inc,A Home Away From Home ALF,Miami,Miami-Dade,25.7686,-80.2641,6,0,4,4000,52,0,1,46,3,2
"Blessing Time Alf, Inc",Blessing Time ALF,Miami,Miami-Dade,25.7686,-80.2641,6,0,2,4000,8,0,1,7,0,0
Ml Willow Haven Alf,Ml Willow Haven ALF,Miami,Miami-Dade,25.7686,-80.2641,6,0,4,4000,12,0,1,10,0,1
Two Sisters Tender Care Llc,Two Sisters Tender Care,Miami,Miami-Dade,25.7782,-80.2698,14,0,1,4000,6,0,1,5,0,0
Buena Vista Health Care Corp,Buena Vista Health Care Corp,Miami Gardens,Miami-Dade,25.9517,-80.271,6,0,2,4000,20,0,2,15,2,1
